3735,1
4110,2
4260,0
4335,2
4410,2
4485,0
4560,0
4560,2
4560,3
4635,1
4635,2
4710,0
4710,1
4710,2
4785,0
4860,0
4860,2
4860,3
4935,1
4935,2
5010,0
5010,1
5085,0
5160,0
5160,2
5160,3
5235,1
5235,2
5310,0
5310,1
5460,0
5460,3
5535,1
5535,2
5610,1
5685,0
5760,0
5760,1
5760,3
5835,1
5835,2
5910,0
5910,1
5985,0
6060,0
6060,2
6060,3
6135,1
6135,2
6210,0
6210,1
6285,0
6360,0
6360,3
6435,1
6435,2
6510,1
6585,0
6660,0
6660,1
6660,3
6735,1
6735,2
6810,0
6810,1
6885,0
6960,0
6960,2
6960,3
7035,1
7035,2
7110,1
7185,0
7260,0
7260,1
7260,2
7260,3
7335,1
7335,2
7410,0
7410,1
7485,0
7560,0
7560,1
7560,3
7635,0
7635,1
7635,2
7710,0
7710,1
7860,0
7860,1
7935,0
7935,1
8010,1
8160,0
8160,3
8235,0
8235,1
8310,1
8460,0
8460,1
8535,1
8610,0
8760,3
8835,2
8910,0
9060,0
9210,2
9360,0
9510,0
9510,2
9660,0
9735,1
9810,0
9960,0
10035,1
10260,0
10335,1
10560,0
10635,1
10860,0
11235,1
11310,0
11535,0
11610,2
11760,0
11835,2
12060,0
12060,2
12135,0
12135,1
12210,1
12210,2
12360,0
12435,1
12585,0
12735,0
12810,1
12960,0
13035,0
13110,0
13260,0
13335,0
13410,2
13485,0
13560,0
13635,0
13710,2
13860,0
13935,0
14010,0
14085,0
14160,0
14235,0
14310,0
14310,2
14460,0
14535,0
14610,2
14685,2
14760,0
14835,0
14910,2
15060,0
15135,0
15210,2
15360,0
15435,0
15660,0
15735,0
15810,2
15960,0
16035,0
16110,2
16335,0
16410,0
16560,0
16635,0
16710,2
16860,0
16935,0
17085,0
17160,0
17235,0
17235,1
17310,0
17460,0
17535,0
17610,0
17760,0
17835,0
17910,1
18060,0
18135,0
18285,0
18360,0
18435,0
18585,0
18735,0
18810,0
18885,0
18960,0
19035,0
19110,2
19185,0
19260,0
19335,0
19410,2
19485,0
19560,0
19635,0
19635,2
19785,0
19935,0
20010,0
